source_id,publisher,dataset,url,geography,vintage,retrieved_at_utc,local_path,bytes,sha256,status,relative_path,extract_to,access_notes
FAO_FS,Food and Agriculture Organization of the United Nations,FAOSTAT Suite of Food Security Indicators,https://bulks-faostat.fao.org/production/Food_Security_Data_E_All_Data_(Normalized).zip,"Global, regional, and national",Current bulk release retrieved 2026-08-22,2026-08-23T04:10:09+00:00,data/raw/2026-08-22/faostat_fs/Food_Security_Data_E_All_Data_Normalized.zip,2214673,1ccced40d8e228693c6fcc5d172de9bcaa3a1c6a1581ebde345d71c1dfa9b692,preserved_existing,faostat_fs/Food_Security_Data_E_All_Data_Normalized.zip,faostat_fs/extracted,
FAO_COAHD,Food and Agriculture Organization of the United Nations,FAOSTAT Cost and Affordability of a Healthy Diet,https://bulks-faostat.fao.org/production/Cost_Affordability_Healthy_Diet_(CoAHD)_E_All_Data_(Normalized).zip,"Global, regional, and national",July 2026 SOFI release,2026-08-23T04:10:09+00:00,data/raw/2026-08-22/faostat_coahd/Cost_Affordability_Healthy_Diet_CoAHD_E_All_Data_Normalized.zip,88131,299e15188c24c69a7f5d488ccaee283ef4d99bba995bc6cf095b748134d35fd3,preserved_existing,faostat_coahd/Cost_Affordability_Healthy_Diet_CoAHD_E_All_Data_Normalized.zip,faostat_coahd/extracted,
USDA_SRAM_2025,"U.S. Department of Agriculture, Economic Research Service",2025 SNAP-authorized Retailer Access Map,https://www.ers.usda.gov/media/29395/2025-snap-authorized-retailer-access-map-sram-data.zip?v=25213,2020 U.S. census tracts,Retailers as of June 2025; released 2026-07-27,2026-08-23T04:10:09+00:00,data/raw/2026-08-22/usda_sram/2025_SRAM_data.zip,18935773,8e8ccda55aa478dd5907050249c28157d445568d242db8b5f85231b82c8afdbf,preserved_existing,usda_sram/2025_SRAM_data.zip,usda_sram/extracted,
USDA_FOOD_SECURITY_CSV,"U.S. Department of Agriculture, Economic Research Service",Food Security in the United States data files,https://www.ers.usda.gov/media/799/food-security-csv-data-files.zip,United States and states,2024 annual; 2022-2024 state average,2026-08-23T04:10:09+00:00,data/raw/2026-08-22/usda_food_security/food_security_csv_data_files.zip,43725,8c54f04ff49c89adf79d47f54c3a613e3eea0ac02e5b906d80a55b40716e28ce,preserved_existing,usda_food_security/food_security_csv_data_files.zip,usda_food_security/extracted,
USDA_ERR_358,"U.S. Department of Agriculture, Economic Research Service",Household Food Security in the United States in 2024 (ERR-358),https://ers.usda.gov/sites/default/files/_laserfiche/publications/113623/ERR-358.pdf,United States and states,Published 2025; state estimates average 2022-2024,2026-08-23T04:10:09+00:00,data/raw/2026-08-22/usda_food_security/ERR-358.pdf,1017042,dfe19c73cd5fbaa08a2dec52768690c968892150153806fec83038d3dac0adf7,preserved_existing,usda_food_security/ERR-358.pdf,,
CENSUS_TRACTS_AL_2020,U.S. Census Bureau,"2020 Alabama cartographic census tract boundaries, 1:500,000",https://www2.census.gov/geo/tiger/GENZ2020/shp/cb_2020_01_tract_500k.zip,Alabama 2020 census tracts,2020,2026-08-23T04:10:09+00:00,data/raw/2026-08-22/census_geometry/cb_2020_01_tract_500k.zip,1733838,2afda84e3d126e8f3fea3f678d41992889117e0b86092e96d367702c6ce57c9b,preserved_existing,census_geometry/cb_2020_01_tract_500k.zip,census_geometry/extracted,
FEEDING_AMERICA_MMG_2026,Feeding America National Organization,Map the Meal Gap 2026: local food insecurity and food costs in 2024,https://www.feedingamerica.org/research/map-the-meal-gap/by-county,"U.S. county, congressional district, and state; Alabama county and state extracts retained",2024 observation year; file updated 2026-07-28; corrected 2023 county estimates included,2026-08-29T18:01:33+00:00,data/raw/2026-08-29/feeding_america_mmg/MMG2026_Data_To_Share.zip,12181194,88b6d839860121c295ece955a2aa88bfa856c4ee452ae05403c168c3975d492a,user_provided_validated,feeding_america_mmg/MMG2026_Data_To_Share.zip,,"Official request workflow; no explicit redistribution license in archive. Raw package excluded from GitHub; selected Alabama extracts, metadata, and citations published."
TEAM_STORY_SANDRA_2026,Sandra Kopecky,WomenInData Data Stats and Summary - Story,,"Global, U.S., U.S. regions, project-defined Southeast, Alabama counties, and Alabama story regions","Team synthesis received 2026-08-29; underlying sources retain their own vintages",2026-08-29T18:39:49+00:00,data/contributed/sandra_kopecky/WomenInData Data Stats and Summary - Story.xlsx,2409225,3f4a02393c00218350cb63637c0cc20a5866f18eb7cabd69089c159c3af8f3e4,team_story_prevailing_with_review_notes,data/contributed/sandra_kopecky/WomenInData Data Stats and Summary - Story.xlsx,,"Contributor-authored team synthesis by Sandra Kopecky. Use validated source tables for final claims; explanatory driver labels require direct supporting citations."
